City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Luz,BR,77.59,clear sky,-19.8,-45.69,Hotel Turista
10,Laylay,PH,78.01,broken clouds,13.44,121.82,Marinduque Province Community eCenter
18,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
19,Carmelo,UY,82.4,clear sky,-33.99,-58.29,Los Muelles Boutique Hotel
20,Butaritari,KI,81.73,scattered clouds,3.07,172.79,Isles Sunset Lodge
22,Rikitea,PF,75.38,light rain,-23.12,-134.97,Pension Maro'i
23,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.08,Scoop Guest House
35,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
36,Conceicao Do Araguaia,BR,80.82,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
40,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
44,Cam Ranh,VN,78.8,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
46,Atuona,PF,78.19,few clouds,-9.8,-139.03,Villa Enata
47,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
50,Davao,PH,75.2,broken clouds,6.81,125.71,
51,Neiafu,TO,82.4,scattered clouds,-18.65,-173.98,Mystic Sands
64,Puerto Ayora,EC,80.6,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
66,Mackay,AU,78.8,broken clouds,-21.15,149.2,International Lodge Motel
74,Vanimo,PG,78.48,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
75,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
78,Hilo,US,77.0,light rain,19.73,-155.09,Hilo Hawaiian Hotel
79,Boa Vista,BR,87.8,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
80,Arraial Do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
81,Guatire,VE,82.4,broken clouds,10.48,-66.54,Parque Residencial Canaima I
83,Buala,SB,83.34,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
85,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
86,Champerico,GT,91.4,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
88,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
93,Kavieng,PG,82.76,light rain,-2.57,150.8,Nusa Island Retreat
94,Moron,AR,88.0,clear sky,-34.65,-58.62,Hotel Morón
98,Pacatuba,BR,84.2,clear sky,-3.98,-38.62,Pousada das Andreias
99,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
105,Tawau,MY,75.2,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
107,Pemangkat,ID,75.74,overcast clouds,1.17,108.97,Kost H.Syamsuddin
108,San Patricio,US,86.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
109,Ulladulla,AU,77.0,broken clouds,-35.35,150.47,Sandpiper Motel
111,Caucaia,BR,84.2,clear sky,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
113,Mahibadhoo,MV,82.81,few clouds,3.78,72.97,Omadhoo Inn
114,Kihei,US,80.6,scattered clouds,20.79,-156.47,Maui Sunset
117,Bosaso,SO,77.32,overcast clouds,11.28,49.18,Red Sea Hotel
121,Harper,LR,78.24,overcast clouds,4.38,-7.72,Screensaver
122,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
