,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,48.99,71,100,4.21,overcast clouds
1,Hermanus,ZA,-34.42,19.23,64.0,75,100,5.99,overcast clouds
2,Talnakh,RU,69.49,88.4,10.4,85,40,24.61,light snow
3,Sombrerete,MX,23.63,-103.65,72.54,30,1,14.47,clear sky
4,Yar-Sale,RU,66.83,70.83,3.9,94,23,9.17,few clouds
5,Lata,PT,40.16,-8.33,55.99,87,20,1.12,few clouds
6,Luz,BR,-19.8,-45.69,77.59,62,2,5.79,clear sky
7,Maryville,US,35.76,-83.97,64.0,39,90,3.36,overcast clouds
8,Busselton,AU,-33.65,115.33,45.0,97,3,7.38,clear sky
9,San Quintin,MX,30.48,-115.95,65.23,53,0,10.27,clear sky
10,Laylay,PH,13.44,121.82,78.01,92,84,1.99,broken clouds
11,Taiyuan,CN,37.87,112.56,24.8,68,0,2.24,clear sky
12,Hobart,AU,-42.88,147.33,60.01,58,75,8.05,broken clouds
13,Luang Prabang,LA,19.89,102.13,63.05,83,55,1.7,broken clouds
14,Ribeira Grande,PT,38.52,-28.7,57.2,58,40,5.82,scattered clouds
15,Norman Wells,CA,65.28,-126.83,-0.4,84,75,8.05,broken clouds
16,Faya,SA,18.39,42.45,59.0,82,0,5.82,clear sky
17,Mahebourg,MU,-20.41,57.7,73.4,88,75,5.82,shower rain
18,Kahului,US,20.89,-156.47,80.6,57,40,17.22,scattered clouds
19,Carmelo,UY,-33.99,-58.29,82.4,51,0,10.29,clear sky
20,Butaritari,KI,3.07,172.79,81.73,73,40,15.84,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,41.0,64,75,25.28,light intensity shower rain
22,Rikitea,PF,-23.12,-134.97,75.38,84,90,23.02,light rain
23,Hithadhoo,MV,-0.6,73.08,81.09,78,86,11.54,overcast clouds
24,Thompson,CA,55.74,-97.86,15.8,85,90,4.7,light snow
25,Punta Arenas,CL,-53.15,-70.92,42.8,70,75,32.21,broken clouds
26,Esperance,AU,-33.87,121.9,55.4,93,90,14.99,light rain
27,Mataura,NZ,-46.19,168.86,53.01,67,100,5.99,overcast clouds
28,Tuatapere,NZ,-46.13,167.68,53.01,67,100,5.99,overcast clouds
29,Tateyama,JP,34.98,139.87,51.8,81,20,9.17,few clouds
30,Ancud,CL,-41.87,-73.82,59.0,100,90,12.75,light intensity shower rain
31,Moranbah,AU,-22.0,148.05,71.47,70,59,16.44,broken clouds
32,Mitchell,US,43.71,-98.03,46.0,52,26,13.0,scattered clouds
33,Zhigansk,RU,66.77,123.37,-0.98,92,100,17.4,overcast clouds
34,Kerchevskiy,RU,59.95,56.29,7.38,94,14,2.51,few clouds
35,Port Hedland,AU,-20.32,118.57,78.8,83,0,6.93,clear sky
36,Conceicao Do Araguaia,BR,-8.26,-49.26,80.82,64,90,4.68,overcast clouds
37,Blackwater,AU,-23.58,148.88,71.35,67,15,12.08,few clouds
38,Port Lincoln,AU,-34.73,135.87,66.81,71,100,15.57,moderate rain
39,Plettenberg Bay,ZA,-34.05,23.37,61.39,78,12,13.4,few clouds
40,Kapaa,US,22.08,-159.32,80.6,69,40,20.8,scattered clouds
41,Lebu,CL,-37.62,-73.65,58.24,71,20,10.16,few clouds
42,Cherskiy,RU,68.75,161.3,8.94,91,0,8.84,clear sky
43,East London,ZA,-33.02,27.91,64.33,77,89,20.0,overcast clouds
44,Cam Ranh,VN,11.92,109.16,78.8,88,40,3.36,scattered clouds
45,Mokhsogollokh,RU,61.47,128.92,-4.99,90,100,6.93,overcast clouds
46,Atuona,PF,-9.8,-139.03,78.19,73,14,19.39,few clouds
47,Vaini,TO,-21.2,-175.2,78.8,83,75,16.11,light rain
48,Okha,RU,53.57,142.95,16.43,94,98,11.45,overcast clouds
49,Port Alfred,ZA,-33.59,26.89,64.02,76,74,25.1,broken clouds
50,Davao,PH,6.81,125.71,75.2,100,75,4.7,broken clouds
51,Neiafu,TO,-18.65,-173.98,82.4,88,40,11.41,scattered clouds
52,Sartell,US,45.62,-94.21,36.0,47,1,10.29,clear sky
53,Opuwo,NA,-18.06,13.84,75.87,37,62,3.04,broken clouds
54,Klaksvik,FO,62.23,-6.59,42.8,87,100,14.99,overcast clouds
55,Shelburne,CA,44.08,-80.2,42.01,100,100,8.3,overcast clouds
56,Jamestown,US,42.1,-79.24,45.0,70,90,6.93,overcast clouds
57,Victoria,HK,22.29,114.16,66.99,72,60,1.01,broken clouds
58,Kurchum,KZ,48.57,83.65,22.01,83,73,5.06,broken clouds
59,Bredasdorp,ZA,-34.53,20.04,64.4,68,100,16.11,overcast clouds
60,Torbay,CA,47.67,-52.73,52.0,87,75,21.92,broken clouds
61,Moundsville,US,39.92,-80.74,52.0,70,90,6.93,overcast clouds
62,Nalut,LY,30.33,10.85,61.57,33,0,25.61,clear sky
63,Chuy,UY,-33.7,-53.46,69.78,69,0,12.93,clear sky
64,Puerto Ayora,EC,-0.74,-90.35,80.6,69,20,21.92,few clouds
