City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Teya,60.38,92.63,5.41,92,62,2.71,RU,2020-11-23 23:23:05
1,Georgetown,5.41,100.34,77.0,88,20,2.24,MY,2020-11-23 23:23:05
2,Harper,4.38,-7.72,78.12,87,26,7.43,LR,2020-11-23 23:23:06
3,Kavieng,-2.57,150.8,84.74,76,100,9.82,PG,2020-11-23 23:23:06
4,Vaini,-21.2,-175.2,80.6,74,75,6.93,TO,2020-11-23 23:23:06
5,Baglung,28.27,83.59,50.9,51,0,4.54,NP,2020-11-23 23:23:06
6,Albany,42.6,-73.97,37.99,69,5,1.99,US,2020-11-23 23:23:06
7,Punta Arenas,-53.15,-70.92,46.4,61,40,17.22,CL,2020-11-23 23:23:07
8,La Mira,18.04,-102.33,82.47,73,3,7.07,MX,2020-11-23 23:23:07
9,Lompoc,34.64,-120.46,59.0,72,20,12.75,US,2020-11-23 23:23:07
10,Clyde River,70.47,-68.59,6.8,92,90,27.51,CA,2020-11-23 23:23:07
11,Atuona,-9.8,-139.03,77.95,75,4,14.27,PF,2020-11-23 23:23:07
12,Alta Floresta,-9.88,-56.09,75.58,88,100,4.18,BR,2020-11-23 23:18:33
13,Nanortalik,60.14,-45.24,26.76,85,0,22.26,GL,2020-11-23 23:23:08
14,Okhotsk,59.38,143.3,-0.54,86,91,17.76,RU,2020-11-23 23:23:08
15,Saint George,37.1,-113.58,54.0,32,90,9.01,US,2020-11-23 23:20:58
16,Castro,-24.79,-50.01,61.68,78,0,7.25,BR,2020-11-23 23:21:10
17,Ketchikan,55.34,-131.65,37.4,100,90,25.28,US,2020-11-23 23:23:08
18,Cape Town,-33.93,18.42,61.0,87,75,13.87,ZA,2020-11-23 23:22:40
19,Bhag,29.04,67.82,63.84,28,100,4.0,PK,2020-11-23 23:23:09
20,Verkhnyaya Inta,65.98,60.31,19.04,93,100,8.75,RU,2020-11-23 23:23:09
21,Hobart,-42.88,147.33,66.0,54,75,10.29,AU,2020-11-23 23:23:09
22,Kapaa,22.08,-159.32,80.6,78,90,17.22,US,2020-11-23 23:23:09
23,Namatanai,-3.67,152.43,85.08,69,73,6.04,PG,2020-11-23 23:23:10
24,Champerico,14.3,-91.92,86.0,66,40,6.93,GT,2020-11-23 23:23:10
25,Gohpur,26.88,93.63,57.25,68,0,3.0,IN,2020-11-23 23:23:10
26,Mataura,-46.19,168.86,64.0,54,51,1.01,NZ,2020-11-23 23:23:10
27,Longyearbyen,78.22,15.64,30.2,63,75,10.29,SJ,2020-11-23 23:23:10
28,Hermanus,-34.42,19.23,61.0,73,44,4.0,ZA,2020-11-23 23:23:11
29,Bereda,43.27,-7.54,46.99,92,100,3.0,ES,2020-11-23 23:23:11
30,Vardo,70.37,31.11,33.8,74,40,13.87,NO,2020-11-23 23:23:11
31,Hovd,48.01,91.64,9.61,87,0,0.78,MN,2020-11-23 23:23:11
32,Bambous Virieux,-20.34,57.76,73.4,94,75,10.29,MU,2020-11-23 23:23:11
33,Barth,54.36,12.72,43.0,86,75,8.05,DE,2020-11-23 23:23:12
34,Calabozo,8.92,-67.43,77.58,87,36,3.42,VE,2020-11-23 23:23:12
35,Tiznit,29.58,-9.5,59.18,42,0,1.74,MA,2020-11-23 23:18:15
36,Sindang,-7.0,108.33,69.8,93,98,3.76,ID,2020-11-23 23:23:12
37,Zabol,32.25,67.25,38.82,89,99,3.87,AF,2020-11-23 23:23:12
38,Dwarka,22.24,68.97,72.21,54,0,6.69,IN,2020-11-23 23:23:13
39,Busselton,-33.65,115.33,66.0,37,0,5.39,AU,2020-11-23 23:23:13
40,Minas,-34.38,-55.24,77.0,50,0,13.87,UY,2020-11-23 23:23:13
41,Torbay,47.67,-52.73,33.01,86,75,11.41,CA,2020-11-23 23:23:13
42,Ndele,8.41,20.65,73.99,34,69,4.07,CF,2020-11-23 23:23:13
43,Khatanga,71.97,102.5,-2.38,92,98,10.11,RU,2020-11-23 23:23:13
44,Pisco,-13.7,-76.22,68.0,72,0,21.92,PE,2020-11-23 23:20:36
45,Pascagoula,30.37,-88.56,60.8,63,1,3.36,US,2020-11-23 23:22:46
46,Mamallapuram,12.63,80.17,78.8,94,90,6.93,IN,2020-11-23 23:23:14
47,Kaitangata,-46.28,169.85,59.0,64,22,7.0,NZ,2020-11-23 23:23:14
48,Ushuaia,-54.8,-68.3,46.4,49,40,29.97,AR,2020-11-23 23:21:23
49,Cherskiy,68.75,161.3,-0.22,93,95,4.94,RU,2020-11-23 23:23:15
50,Dali,25.7,100.18,45.46,81,23,2.82,CN,2020-11-23 23:23:15
51,Katsuura,35.13,140.3,55.0,54,75,18.34,JP,2020-11-23 23:23:15
52,Carnarvon,-24.87,113.63,71.6,100,0,5.82,AU,2020-11-23 23:23:15
53,Xiantao,30.38,113.4,39.52,80,99,8.43,CN,2020-11-23 23:23:16
54,Esperance,-33.87,121.9,68.0,56,0,19.46,AU,2020-11-23 23:23:16
55,Aykhal,66.0,111.5,6.8,92,90,6.71,RU,2020-11-23 23:19:13
56,Rikitea,-23.12,-134.97,73.92,62,98,2.66,PF,2020-11-23 23:23:16
57,Matamoros,25.53,-103.25,84.2,26,5,0.13,MX,2020-11-23 23:23:16
58,Qaanaaq,77.48,-69.36,6.93,83,100,5.08,GL,2020-11-23 23:23:17
59,Povenets,62.85,34.83,37.54,95,100,7.63,RU,2020-11-23 23:23:17
60,Jiaozuo,35.24,113.23,35.64,84,54,3.42,CN,2020-11-23 23:23:17
61,Ostrovnoy,68.05,39.51,35.37,93,100,14.5,RU,2020-11-23 23:23:17
62,Katsuyama,36.06,136.5,44.6,70,40,1.12,JP,2020-11-23 23:23:18
63,Vanavara,60.34,102.28,-0.54,93,6,3.49,RU,2020-11-23 23:23:18
64,Codajas,-3.84,-62.06,80.01,79,82,0.4,BR,2020-11-23 23:23:18
65,San Patricio,28.02,-97.52,73.4,73,40,16.11,US,2020-11-23 23:23:18
66,Chuy,-33.7,-53.46,65.59,80,0,14.7,UY,2020-11-23 23:23:18
67,Bengkulu,-3.8,102.27,73.54,93,100,3.87,ID,2020-11-23 23:23:18
68,Konotop,51.24,33.2,33.58,97,99,11.63,UA,2020-11-23 23:23:19
69,Igarka,67.47,86.58,7.61,94,100,16.55,RU,2020-11-23 23:23:19
70,Karema,-6.82,30.44,73.2,79,9,5.06,TZ,2020-11-23 23:23:19
71,Hualmay,-11.1,-77.61,65.25,77,49,11.34,PE,2020-11-23 23:23:19
72,Mar Del Plata,-38.0,-57.56,66.2,88,90,14.99,AR,2020-11-23 23:23:19
73,Kalengwa,-13.47,25.0,65.89,96,80,4.12,ZM,2020-11-23 23:23:20
74,Port Alfred,-33.59,26.89,65.34,84,96,16.6,ZA,2020-11-23 23:23:20
75,Okahandja,-21.98,16.92,64.99,20,22,3.36,NA,2020-11-23 23:23:20
76,Hervey Bay,-25.3,152.85,82.0,54,44,12.75,AU,2020-11-23 23:19:41
77,Kragero,58.87,9.41,45.0,87,100,1.01,NO,2020-11-23 23:23:20
78,Yar-Sale,66.83,70.83,13.53,96,87,13.71,RU,2020-11-23 23:23:20
79,Broome,42.25,-75.83,37.99,74,90,4.7,US,2020-11-23 23:18:55
80,Dikson,73.51,80.55,9.09,95,100,17.85,RU,2020-11-23 23:23:21
81,Tasiilaq,65.61,-37.64,24.8,68,100,4.7,GL,2020-11-23 23:23:21
82,Panaba,21.28,-88.27,74.34,89,50,10.2,MX,2020-11-23 23:23:21
83,Puerto Ayora,-0.74,-90.35,69.78,76,57,10.09,EC,2020-11-23 23:23:21
84,Gravelbourg,49.88,-106.55,19.4,79,100,16.11,CA,2020-11-23 23:23:21
85,Fort Nelson,58.81,-122.7,-2.2,84,75,2.24,CA,2020-11-23 23:23:22
